time,x,y
2024-02-02 16:58:55.502139,55,43
2024-02-02 16:58:55.629651,56,43
2024-02-02 16:58:55.630627,57,43
2024-02-02 16:58:55.631600,57,43
2024-02-02 16:58:55.631600,58,43
2024-02-02 16:58:56.110397,59,43
2024-02-02 16:58:56.468923,38,43
2024-02-02 16:58:56.470875,38,43
2024-02-02 16:58:56.471849,39,43
2024-02-02 16:58:56.842200,69,43
2024-02-02 16:58:56.843857,70,43
2024-02-02 16:58:56.843857,69,43
2024-02-02 16:58:57.941557,56,43
2024-02-02 16:58:57.942529,58,43
2024-02-02 16:58:57.943504,58,43
2024-02-02 16:58:57.944486,57,43
2024-02-02 16:58:58.843988,51,43
2024-02-02 16:58:58.850802,52,43
2024-02-02 16:58:58.852748,52,43
2024-02-02 16:58:58.852748,52,43
2024-02-02 16:58:59.836203,58,43
2024-02-02 16:58:59.837175,59,43
2024-02-02 16:58:59.837175,59,43
2024-02-02 16:59:00.704756,59,43
2024-02-02 16:59:00.705853,58,43
2024-02-02 16:59:00.838393,47,43
2024-02-02 16:59:00.839365,48,43
2024-02-02 16:59:00.841955,48,43
2024-02-02 16:59:00.842944,46,43
2024-02-02 16:59:01.493328,45,43
2024-02-02 16:59:01.628693,46,43
2024-02-02 16:59:01.629658,46,43
2024-02-02 16:59:01.629658,46,43
2024-02-02 16:59:02.267049,44,43
2024-02-02 16:59:03.256227,39,43
2024-02-02 16:59:03.257209,39,43
2024-02-02 16:59:03.257209,38,43
2024-02-02 16:59:03.377878,69,43
2024-02-02 16:59:03.378850,75,94
2024-02-02 16:59:04.593155,76,44
2024-02-02 16:59:04.594145,77,43
2024-02-02 16:59:04.594145,77,43
2024-02-02 16:59:04.594145,76,43
2024-02-02 16:59:04.740806,32,43
2024-02-02 16:59:04.741779,31,43
2024-02-02 16:59:04.743726,31,43
2024-02-02 16:59:04.744699,31,43
2024-02-02 16:59:05.057289,31,43
2024-02-02 16:59:05.058263,32,43
2024-02-02 16:59:05.058263,32,43
2024-02-02 16:59:05.059287,34,43
2024-02-02 16:59:05.268373,59,43
2024-02-02 16:59:05.694579,28,43
2024-02-02 16:59:05.695559,28,43
2024-02-02 16:59:05.696532,28,43
2024-02-02 16:59:05.696532,29,43
2024-02-02 16:59:05.942235,71,43
2024-02-02 16:59:06.723790,33,43
2024-02-02 16:59:06.724767,33,43
2024-02-02 16:59:06.725741,33,43
2024-02-02 16:59:06.726726,33,43
2024-02-02 16:59:06.901076,33,43
2024-02-02 16:59:06.902094,33,43
2024-02-02 16:59:06.902094,34,43
2024-02-02 16:59:07.004033,41,43
2024-02-02 16:59:07.005109,43,43
2024-02-02 16:59:07.006085,44,43
2024-02-02 16:59:07.131601,45,43
2024-02-02 16:59:07.132575,45,43
2024-02-02 16:59:07.132575,45,43
2024-02-02 16:59:07.132575,45,43
2024-02-02 16:59:07.335823,45,43
2024-02-02 16:59:08.824033,62,43
